KOI,disposition,period,ntransits,ncontams,nmadfailed,nexcluded,orig_nmoons,orig_frac_wmoons,nmoons_agth,frac_wmoons_agth,agth,median_agreement,fp_nexcluded,fp_median_agreement,FP_rate
KOI-115.01,CONFIRMED,5.412203927,140,140,18,0,48,0.342857143,2,0.014285714,0.95,0.656862745,0,0.375,0
KOI-115.02,CONFIRMED,7.12594387,109,109,11,0,21,0.19266055,1,0.009174312,0.95,0.5,0,0.411764706,0.009615385
KOI-116.01,CONFIRMED,13.57078281,67,67,0,0,19,0.28358209,1,0.014925373,0.95,0.666666667,0,0.411764706,0
KOI-116.02,CONFIRMED,43.84439721,20,20,0,0,14,0.7,6,0.3,0.95,0.888544892,0,0.375,0
KOI-116.03,CONFIRMED,6.164876,155,145,0,0,4,0.025806452,0,0,0.95,0.5,0,0.411764706,0
KOI-116.04,CONFIRMED,23.9800854,41,41,0,0,1,0.024390244,0,0,0.95,0.375,0,0.375,0.008474576
KOI-117.01,CONFIRMED,14.74914825,56,56,6,0,37,0.660714286,13,0.232142857,0.95,0.882352941,0,0.411764706,0.057142857
KOI-117.04,CONFIRMED,7.95825328,96,96,12,0,7,0.072916667,0,0,0.95,0.393382353,0,0.375,0
KOI-118.01,CONFIRMED,24.99324319,28,0,4,0,10,0.357142857,1,0.035714286,0.95,0.564705882,0,0.375,0
KOI-119.01,CONFIRMED,49.18394185,18,1,4,0,13,0.722222222,6,0.333333333,0.95,1,0,0.375,0.031746032
KOI-119.02,CONFIRMED,190.3200468,6,1,3,0,5,0.833333333,4,0.666666667,0.95,1,0,0.411764706,0.02
KOI-122.01,CONFIRMED,11.52306746,31,0,11,0,14,0.451612903,1,0.032258065,0.95,0.6,0,0.444444444,0.06779661
KOI-123.01,CONFIRMED,6.481633073,143,78,11,0,50,0.34965035,2,0.013986014,0.95,0.647058824,0,0.411764706,0
KOI-123.02,CONFIRMED,21.22261195,43,43,5,0,30,0.697674419,10,0.23255814,0.95,0.888888889,0,0.350877193,0.015625
KOI-124.01,CONFIRMED,12.69104387,76,27,6,0,9,0.118421053,0,0,0.95,0.656862745,0,0.375,0.012578616
KOI-124.02,CONFIRMED,31.71981013,34,25,1,0,17,0.5,2,0.058823529,0.95,0.669642857,0,0.529411765,0.0390625
KOI-125.01,CONFIRMED,38.47876629,27,0,24,0,21,0.777777778,10,0.37037037,0.95,0.888888889,0,0.444444444,0.038461538
KOI-129.01,CONFIRMED,24.66919273,11,1,11,0,9,0.818181818,6,0.545454545,0.95,1,0,0.333333333,0.035087719
KOI-131.01,CONFIRMED,5.014234733,146,146,138,0,101,0.691780822,14,0.095890411,0.95,0.684210526,0,0.6,0.035211268
KOI-137.01,CONFIRMED,7.641567589,127,127,6,0,61,0.480314961,22,0.173228346,0.95,0.888888889,0,0.7,0.168
KOI-137.02,CONFIRMED,14.85890852,66,66,4,0,30,0.454545455,14,0.212121212,0.95,1,0,0.555555556,0.160305344
KOI-139.01,CONFIRMED,224.7789355,5,5,0,0,4,0.8,1,0.2,0.95,0.888888889,0,0.375,0.024390244
KOI-142.01,CONFIRMED,10.91610834,89,4,5,0,76,0.853932584,16,0.179775281,0.95,0.789473684,0,0.375,0.016666667
KOI-148.02,CONFIRMED,9.673958488,66,66,6,0,31,0.46969697,4,0.060606061,0.95,0.75,0,0.601973684,0.09375
KOI-148.03,CONFIRMED,42.89645024,15,15,1,0,11,0.733333333,0,0,0.95,0.555555556,0,0.354166667,0
KOI-149.01,CONFIRMED,14.55730897,34,0,3,0,23,0.676470588,6,0.176470588,0.95,0.888888889,0,0.5,0.116883117
KOI-150.01,CONFIRMED,8.408878137,117,43,0,0,51,0.435897436,4,0.034188034,0.95,0.764705882,0,0.411764706,0.056451613
KOI-150.02,CONFIRMED,28.5742692,35,35,0,0,22,0.628571429,5,0.142857143,0.95,0.764705882,0,0.5,0.009433962
KOI-151.01,CANDIDATE,13.4471791,61,0,0,0,16,0.262295082,0,0,0.95,0.647058824,0,0.529411765,0
KOI-152.01,CONFIRMED,52.09081627,19,18,1,0,11,0.578947368,7,0.368421053,0.95,1,0,0.333333333,0.008333333
KOI-152.02,CONFIRMED,27.40229859,35,32,1,0,19,0.542857143,5,0.142857143,0.95,0.875,0,0.444444444,0.018518519
KOI-152.03,CONFIRMED,13.48457668,74,50,1,0,27,0.364864865,2,0.027027027,0.95,0.666666667,0,0.411764706,0.032467532
KOI-152.04,CONFIRMED,81.0637895,15,15,0,0,6,0.4,0,0,0.95,0.411764706,0,0.294117647,0
KOI-153.01,CONFIRMED,8.925079516,69,69,0,0,20,0.289855072,0,0,0.95,0.733333333,0,0.5,0
KOI-155.01,CONFIRMED,5.660669429,164,164,0,0,88,0.536585366,5,0.030487805,0.95,0.764705882,0,0.444444444,0.023668639
KOI-156.01,CONFIRMED,8.041347775,125,125,30,0,36,0.288,0,0,0.95,0.444444444,0,0.333333333,0
KOI-156.02,CONFIRMED,5.188563677,191,191,40,0,32,0.167539267,1,0.005235602,0.95,0.444444444,0,0.294117647,0
KOI-156.03,CONFIRMED,11.77613232,84,84,17,0,37,0.44047619,5,0.05952381,0.95,0.75,0,0.333333333,0.005952381
KOI-157.01,CONFIRMED,13.02493307,67,67,1,0,27,0.402985075,5,0.074626866,0.95,0.764705882,0,0.333333333,0.021582734
KOI-157.02,CONFIRMED,22.687155,41,41,0,0,20,0.487804878,10,0.243902439,0.95,0.888888889,0,0.5,0.058333333
KOI-157.03,CONFIRMED,31.99552485,26,26,0,0,14,0.538461538,4,0.153846154,0.95,0.891812865,0,0.5,0.048780488
KOI-157.04,CONFIRMED,46.6856205,19,19,0,0,9,0.473684211,0,0,0.95,0.764705882,0,0.428104575,0.010638298
KOI-157.05,CONFIRMED,118.3786735,7,7,0,0,6,0.857142857,6,0.857142857,0.95,1,0,0.411764706,0.010309278
KOI-157.06,CONFIRMED,10.30401132,85,80,0,0,6,0.070588235,0,0,0.95,0.625,0,0.375,0
KOI-159.01,CONFIRMED,8.99088621,108,108,0,0,32,0.296296296,2,0.018518519,0.95,0.764705882,0,0.411764706,0
KOI-162.01,CONFIRMED,14.00640392,45,0,0,0,18,0.4,3,0.066666667,0.95,0.764705882,0,0.5,0.023255814
KOI-163.01,CONFIRMED,11.1199028,82,0,1,0,27,0.329268293,1,0.012195122,0.95,0.75,0,0.5,0.006134969
KOI-165.01,CONFIRMED,13.22175358,59,0,0,0,19,0.322033898,1,0.016949153,0.95,0.647058824,0,0.455555556,0.024193548
KOI-166.01,CONFIRMED,12.49340725,67,0,0,0,5,0.074626866,0,0,0.95,0.625,0,0.470175439,0.007936508
KOI-168.01,CONFIRMED,10.74241765,59,58,1,0,26,0.440677966,1,0.016949153,0.95,0.625,0,0.333333333,0.008196721
KOI-168.02,CONFIRMED,15.27443889,46,46,0,0,2,0.043478261,0,0,0.95,0.5,0,0.411764706,0
KOI-168.03,CONFIRMED,7.10695741,87,86,0,0,3,0.034482759,0,0,0.95,0.529411765,0,0.333333333,0
KOI-171.01,CONFIRMED,5.968724048,116,116,0,0,31,0.267241379,0,0,0.95,0.625,0,0.444444444,0.018018018
KOI-171.02,CONFIRMED,13.07141889,47,47,0,0,4,0.085106383,0,0,0.95,0.5,0,0.333333333,0
KOI-172.01,CONFIRMED,13.7223682,79,3,0,0,34,0.430379747,6,0.075949367,0.95,0.764705882,0,0.411764706,0.013513514
KOI-172.02,CONFIRMED,242.467406,3,3,0,0,2,0.666666667,0,0,0.95,0.529411765,0,0.411764706,0
KOI-173.01,CONFIRMED,10.06083238,100,0,0,0,21,0.21,1,0.01,0.95,0.764705882,0,0.5,0
KOI-174.01,CONFIRMED,56.35407916,13,0,0,0,1,0.076923077,0,0,0.95,0.882352941,0,0.5,0
KOI-176.01,CONFIRMED,30.22910274,30,0,0,0,13,0.433333333,2,0.066666667,0.95,0.757352941,0,0.5,0.008130081
KOI-177.01,CANDIDATE,21.06075303,32,0,0,0,5,0.15625,0,0,0.95,0.633333333,0,0.466666667,0
KOI-179.01,CONFIRMED,20.74028645,40,1,0,0,27,0.675,10,0.25,0.95,0.891812865,0,0.5,0.042735043
KOI-179.02,CONFIRMED,572.376632,2,1,0,0,2,1,0,0,0.95,0.392857143,0,0.333333333,0
KOI-180.01,CONFIRMED,10.04556377,105,0,98,0,94,0.895238095,4,0.038095238,0.95,0.666666667,0,0.411764706,0.025
KOI-189.01,CONFIRMED,30.36044536,23,0,1,0,15,0.652173913,9,0.391304348,0.95,1,0,0.411764706,0.025
KOI-191.01,CONFIRMED,15.35876777,50,50,0,0,29,0.58,13,0.26,0.95,0.891812865,0,0.529411765,0.085714286
KOI-191.04,CONFIRMED,38.6520796,20,20,0,0,4,0.2,0,0,0.95,0.564705882,0,0.411764706,0
KOI-192.01,CONFIRMED,10.29099413,98,0,0,0,40,0.408163265,9,0.091836735,0.95,0.888888889,0,0.675438596,0.141414141
KOI-197.01,CONFIRMED,17.27629668,58,0,7,0,31,0.534482759,5,0.086206897,0.95,0.882352941,0,0.529411765,0.092592593
KOI-200.01,CONFIRMED,7.340714946,135,0,0,0,70,0.518518519,11,0.081481481,0.95,0.882352941,0,0.578947368,0.090225564
KOI-205.01,CONFIRMED,11.720124,90,0,0,0,38,0.422222222,10,0.111111111,0.95,1,0,0.368421053,0.082872928
KOI-206.01,CONFIRMED,5.334082429,195,195,84,0,133,0.682051282,54,0.276923077,0.95,0.888888889,0,0.571428571,0.050761421
KOI-209.01,CONFIRMED,50.79034648,22,11,0,0,13,0.590909091,8,0.363636364,0.95,1,0,0.375,0.054263566
KOI-209.02,CONFIRMED,18.79591276,55,13,0,0,36,0.654545455,21,0.381818182,0.95,1,0,0.411764706,0.017241379
KOI-210.01,CANDIDATE,20.92735802,47,0,19,0,29,0.617021277,7,0.14893617,0.95,0.777777778,0,0.211111111,0
KOI-211.01,CANDIDATE,124.0358994,6,0,0,0,1,0.166666667,1,0.166666667,0.95,1,0,0.514705882,0.009259259
KOI-212.01,CANDIDATE,5.69590202,96,96,1,0,57,0.59375,18,0.1875,0.95,0.888888889,0,0.656862745,0.041666667
KOI-216.01,CONFIRMED,20.17202467,50,50,8,0,27,0.54,7,0.14,0.95,0.878676471,0,0.333333333,0.078431373
KOI-216.02,CONFIRMED,7.51854537,139,74,22,0,30,0.215827338,1,0.007194245,0.95,0.333333333,0,0.333333333,0
KOI-219.01,CONFIRMED,8.025118521,119,0,25,0,86,0.722689076,51,0.428571429,0.95,1,0,0.666666667,0.132231405
KOI-221.02,CANDIDATE,5.89661966,124,124,0,0,1,0.008064516,0,0,0.95,0.529411765,0,0.5,0.008130081
KOI-222.01,CONFIRMED,6.312508525,122,106,1,0,35,0.286885246,1,0.008196721,0.95,0.564705882,0,0.222222222,0
KOI-222.02,CONFIRMED,12.7945474,61,60,1,0,10,0.163934426,1,0.016393443,0.95,0.529411765,0,0.333333333,0.008474576
KOI-223.02,CONFIRMED,41.0081117,20,20,0,0,6,0.3,1,0.05,0.95,0.588235294,0,0.5,0.007936508
KOI-226.01,CONFIRMED,8.30865307,122,0,0,0,19,0.155737705,1,0.008196721,0.95,0.647058824,0,0.256578947,0
KOI-227.01,CANDIDATE,17.65737838,45,0,10,0,34,0.755555556,9,0.2,0.95,0.875,0,0.333333333,0
KOI-232.01,CONFIRMED,12.46600444,83,83,2,0,53,0.638554217,24,0.289156627,0.95,0.888888889,0,0.625,0.076923077
KOI-232.02,CONFIRMED,5.766165573,179,179,2,0,13,0.072625698,1,0.005586592,0.95,0.529411765,0,0.333333333,0
KOI-232.03,CONFIRMED,21.58752788,47,47,1,0,4,0.085106383,1,0.021276596,0.95,0.555555556,0,0.375,0
KOI-232.04,CONFIRMED,37.9962369,27,27,2,0,10,0.37037037,0,0,0.95,0.6,0,0.420168067,0
KOI-232.05,CONFIRMED,56.2590881,19,19,0,0,6,0.315789474,0,0,0.95,0.625,0,0.5,0
KOI-234.01,CONFIRMED,9.61375316,87,0,0,0,28,0.32183908,4,0.045977011,0.95,0.625,0,0.375,0
KOI-235.01,CONFIRMED,5.63252508,105,105,0,0,2,0.019047619,0,0,0.95,0.647058824,0,0.294117647,0
KOI-237.01,CONFIRMED,8.508333104,120,0,0,0,32,0.266666667,4,0.033333333,0.95,0.764705882,0,0.371710526,0.008333333
KOI-238.01,CONFIRMED,17.23232894,58,25,0,0,14,0.24137931,0,0,0.95,0.647058824,0,0.5,0.008547009
KOI-238.02,CONFIRMED,26.6951944,37,24,0,0,0,0,0,0,0.95,0.647058824,0,0.5,0
KOI-238.03,CANDIDATE,362.97828,3,3,0,0,1,0.333333333,0,0,0.95,0.529411765,0,0.5,0
KOI-239.01,CONFIRMED,5.640676975,181,181,0,0,36,0.198895028,2,0.011049724,0.95,0.764705882,0,0.529411765,0.038461538
KOI-241.01,CONFIRMED,13.82142084,60,60,0,0,15,0.25,0,0,0.95,0.764705882,0,0.5,0
KOI-241.02,CONFIRMED,30.9505927,30,30,0,0,3,0.1,0,0,0.95,0.529411765,0,0.529411765,0
KOI-244.01,CONFIRMED,12.72037026,68,68,66,0,34,0.5,4,0.058823529,0.95,0.666666667,0,0.514705882,0.091549296
KOI-244.02,CONFIRMED,6.238535444,138,121,130,0,85,0.615942029,18,0.130434783,0.95,0.777777778,0,0.647058824,0.115107914
KOI-245.01,CONFIRMED,39.79220077,6,5,6,0,3,0.5,1,0.166666667,0.95,0.833333333,0,0.222222222,0
KOI-245.02,CONFIRMED,21.30181863,13,13,13,0,10,0.769230769,0,0,0.95,0.444444444,0,0.333333333,0
KOI-245.03,CONFIRMED,13.3669309,21,19,21,0,14,0.666666667,0,0,0.95,0.411764706,0,0.31372549,0
KOI-246.01,CONFIRMED,5.398752862,82,82,82,0,43,0.524390244,2,0.024390244,0.95,0.625,0,0.625,0.023529412
KOI-246.02,CONFIRMED,9.60505976,47,45,47,0,16,0.340425532,1,0.021276596,0.95,0.222222222,0,0.25,0
KOI-247.01,CANDIDATE,13.81504449,20,0,10,0,8,0.4,0,0,0.95,0.37254902,0,0.31372549,0
KOI-248.01,CONFIRMED,7.203855862,128,128,8,0,28,0.21875,3,0.0234375,0.95,0.6,0,0.294117647,0
KOI-248.02,CONFIRMED,10.91274065,87,87,6,0,18,0.206896552,0,0,0.95,0.5,0,0.333333333,0
KOI-248.04,CONFIRMED,18.59611518,52,51,3,0,7,0.134615385,0,0,0.95,0.5,0,0.294117647,0
KOI-249.01,CONFIRMED,9.549277089,111,0,10,0,22,0.198198198,0,0,0.95,0.5,0,0.294117647,0.009259259
KOI-250.01,CONFIRMED,12.28299829,84,84,7,0,38,0.452380952,3,0.035714286,0.95,0.6125,0,0.368421053,0.023255814
KOI-250.02,CONFIRMED,17.25121397,62,62,3,0,12,0.193548387,0,0,0.95,0.529411765,0,0.333333333,0
KOI-250.04,CONFIRMED,46.82767725,25,25,3,0,7,0.28,0,0,0.95,0.6,0,0.333333333,0.00862069
KOI-251.02,CONFIRMED,5.77440326,54,54,8,0,10,0.185185185,0,0,0.95,0.411764706,0,0.294117647,0
KOI-252.01,CANDIDATE,17.60461401,54,0,2,0,18,0.333333333,1,0.018518519,0.95,0.741666667,0,0.411764706,0
KOI-253.01,CANDIDATE,6.383159135,126,62,9,0,20,0.158730159,0,0,0.95,0.411764706,0,0.333333333,0
KOI-253.02,CANDIDATE,20.6180348,39,38,6,0,8,0.205128205,0,0,0.95,0.411764706,0,0.333333333,0
KOI-255.01,CONFIRMED,27.52194772,34,33,5,0,22,0.647058824,4,0.117647059,0.95,0.882352941,0,0.333333333,0
KOI-255.02,CANDIDATE,13.6032081,68,68,2,0,9,0.132352941,0,0,0.95,0.375,0,0.375,0
KOI-257.01,CONFIRMED,6.88341278,60,0,60,0,56,0.933333333,3,0.05,0.95,0.444444444,0,0.555555556,0.015873016
KOI-260.01,CONFIRMED,10.49566303,37,21,37,0,33,0.891891892,2,0.054054054,0.95,0.444444444,0,0.444444444,0.02739726
KOI-260.02,CONFIRMED,100.2830675,5,5,5,0,4,0.8,2,0.4,0.95,0.764705882,0,0.529411765,0.024390244
KOI-260.03,CONFIRMED,21.86965714,18,16,18,0,15,0.833333333,1,0.055555556,0.95,0.555555556,0,0.428104575,0.038461538
KOI-261.01,CONFIRMED,16.23847733,39,0,39,0,31,0.794871795,9,0.230769231,0.95,0.777777778,0,0.444444444,0.036144578
KOI-262.01,CONFIRMED,7.81285862,52,52,52,0,50,0.961538462,5,0.096153846,0.95,0.656862745,0,0.529411765,0
KOI-262.02,CONFIRMED,9.37663713,47,43,47,0,38,0.808510638,3,0.063829787,0.95,0.444444444,0,0.5,0
KOI-266.01,CONFIRMED,25.30893566,39,7,3,0,18,0.461538462,1,0.025641026,0.95,0.75,0,0.25,0
KOI-266.02,CANDIDATE,47.7439509,16,6,0,0,3,0.1875,0,0,0.95,0.333333333,0,0.294117647,0
KOI-268.01,CANDIDATE,110.3783828,3,0,3,0,3,1,1,0.333333333,0.95,0.894736842,0,0.567251462,0.136363636
KOI-269.01,CANDIDATE,18.01164974,35,0,34,0,16,0.457142857,2,0.057142857,0.95,0.555555556,0,0.333333333,0
KOI-270.01,CONFIRMED,12.58229808,72,24,50,0,22,0.305555556,2,0.027777778,0.95,0.666666667,0,0.294117647,0
KOI-270.02,CONFIRMED,33.67280658,26,24,20,0,17,0.653846154,4,0.153846154,0.95,0.878676471,0,0.294117647,0.018518519
KOI-271.01,CONFIRMED,48.6303805,19,16,19,0,17,0.894736842,6,0.315789474,0.95,0.866666667,0,0.333333333,0.054347826
KOI-271.02,CONFIRMED,29.39337161,26,24,25,0,20,0.769230769,7,0.269230769,0.95,0.874509804,0,0.411764706,0.078651685
KOI-271.03,CONFIRMED,14.4359459,66,33,62,0,48,0.727272727,0,0,0.95,0.354166667,0,0.333333333,0.016
KOI-273.01,CONFIRMED,10.57375145,56,0,9,0,4,0.071428571,0,0,0.95,0.375,0,0.375,0.017391304
KOI-274.01,CONFIRMED,15.0896415,44,22,43,0,9,0.204545455,1,0.022727273,0.95,0.354166667,0,0.294117647,0
KOI-274.02,CONFIRMED,22.8030252,33,22,33,0,8,0.242424242,0,0,0.95,0.375,0,0.278637771,0
KOI-275.01,CONFIRMED,15.79196594,21,3,21,0,7,0.333333333,3,0.142857143,0.95,0.789473684,0,0.411764706,0.025
KOI-275.02,CONFIRMED,82.2001239,3,3,3,0,0,0,0,0,0.95,0.294117647,0,0.375,0
KOI-276.01,CONFIRMED,41.74598855,23,0,0,0,10,0.434782609,2,0.086956522,0.95,0.875,0,0.5,0.032258065
KOI-277.01,CONFIRMED,16.23191704,55,40,17,0,35,0.636363636,16,0.290909091,0.95,1,0,0.6,0.111111111
KOI-277.02,CONFIRMED,13.84984567,73,45,17,0,16,0.219178082,1,0.01369863,0.95,0.411764706,0,0.411764706,0.007518797
KOI-279.01,CONFIRMED,28.45489091,22,22,22,0,19,0.863636364,15,0.681818182,0.95,1,0,0.555555556,0.038461538
KOI-279.02,CONFIRMED,15.4130812,47,47,46,0,41,0.872340426,6,0.127659574,0.95,0.684210526,0,0.555555556,0.09
KOI-279.03,CONFIRMED,7.5143967,102,86,101,0,90,0.882352941,4,0.039215686,0.95,0.444444444,0,0.486842105,0.019607843
KOI-280.01,CONFIRMED,11.87290814,70,0,12,0,27,0.385714286,1,0.014285714,0.95,0.5,0,0.375,0
KOI-281.01,CONFIRMED,19.55662003,27,0,14,0,18,0.666666667,6,0.222222222,0.95,0.888888889,0,0.5,0
KOI-282.01,CONFIRMED,27.50871575,34,34,14,0,16,0.470588235,4,0.117647059,0.95,0.888888889,0,0.444444444,0.059405941
KOI-282.02,CONFIRMED,8.45744892,111,56,31,0,12,0.108108108,0,0,0.95,0.375,0,0.294117647,0
KOI-282.03,CONFIRMED,87.5177787,10,10,2,0,1,0.1,0,0,0.95,0.272058824,0,0.294117647,0.010869565
KOI-283.01,CONFIRMED,16.09196369,55,55,49,0,42,0.763636364,7,0.127272727,0.95,0.529411765,0,0.278637771,0.009090909
KOI-283.02,CONFIRMED,25.5172744,36,36,32,0,32,0.888888889,0,0,0.95,0.514705882,0,0.333333333,0.00877193
KOI-283.03,CANDIDATE,9.48814747,95,78,87,0,70,0.736842105,0,0,0.95,0.333333333,0,0.411764706,0.04
KOI-284.01,CONFIRMED,18.01019956,32,32,0,0,6,0.1875,0,0,0.95,0.54248366,0,0.411764706,0
KOI-284.02,CONFIRMED,6.41491277,85,85,0,0,6,0.070588235,0,0,0.95,0.5,0,0.5,0
KOI-284.03,CONFIRMED,6.17817366,91,91,0,0,4,0.043956044,0,0,0.95,0.411764706,0,0.411764706,0
KOI-284.04,CONFIRMED,110.2867031,5,5,0,0,1,0.2,0,0,0.95,0.733333333,0,0.411764706,0
KOI-285.01,CONFIRMED,13.74883059,14,7,13,0,8,0.571428571,4,0.285714286,0.95,0.894444444,0,0.428571429,0.064516129
KOI-285.02,CONFIRMED,26.723169,6,5,5,0,3,0.5,1,0.166666667,0.95,0.944444444,0,0.393382353,0
KOI-285.03,CONFIRMED,49.3567907,4,3,4,0,2,0.5,0,0,0.95,0.525,0,0.334558824,0
KOI-288.01,CANDIDATE,10.27532513,86,0,86,0,50,0.581395349,8,0.093023256,0.95,0.555555556,0,0.444444444,0.04
KOI-289.01,CANDIDATE,26.62941953,32,1,10,0,26,0.8125,12,0.375,0.95,0.888888889,0,0.375,0.047619048
KOI-289.02,CONFIRMED,296.6375817,1,1,1,0,0,0,0,0,0.95,0.636363636,0,0.294117647,0
KOI-291.01,CONFIRMED,31.51779463,12,12,0,0,6,0.5,1,0.083333333,0.95,0.819852941,0,0.5,0
KOI-291.02,CONFIRMED,8.12999858,45,12,0,0,3,0.066666667,0,0,0.95,0.529411765,0,0.333333333,0
KOI-294.01,CONFIRMED,34.4359387,17,0,4,0,11,0.647058824,2,0.117647059,0.95,0.882352941,0,0.368421053,0.014492754
KOI-295.01,CONFIRMED,5.317440164,93,93,27,0,36,0.387096774,1,0.010752688,0.95,0.529411765,0,0.294117647,0
